name,description,price,category,subcategory,stock,sku,images,weight,dimensions
Tomato Seeds,Premium quality hybrid tomato seeds for home gardening,299,Seeds,Vegetable Seeds,100,TOM001,"tomato-seeds-1.jpg,tomato-seeds-2.jpg",50g,10x5x2cm
Chili Seeds,Hot chili pepper seeds - perfect for spicy lovers,199,Seeds,Vegetable Seeds,150,CHI001,"chili-seeds-1.jpg",25g,8x4x1cm
Rose Seeds,Beautiful red rose seeds for your garden,399,Seeds,Flower Seeds,75,ROS001,"rose-seeds-1.jpg,rose-seeds-2.jpg",30g,12x6x2cm
Organic Fertilizer,100% organic fertilizer for healthy plant growth,599,Fertilizers,Organic,200,ORG001,"fertilizer-1.jpg",1kg,20x15x10cm
Garden Spade,Heavy duty steel garden spade with wooden handle,899,Tools,Hand Tools,50,SPA001,"spade-1.jpg,spade-2.jpg",800g,60x15x5cm
Ceramic Pot,Beautiful ceramic pot for indoor plants,799,Pots,Ceramic,80,POT001,"ceramic-pot-1.jpg",500g,20x20x18cm
Aloe Vera Plant,Live aloe vera plant - great for home remedies,299,Plants,Medicinal,30,ALO001,"aloe-vera-1.jpg",300g,15x15x20cm
Marigold Seeds,Bright orange marigold flower seeds,149,Seeds,Flower Seeds,200,MAR001,"marigold-seeds-1.jpg",20g,8x4x1cm
Watering Can,2L capacity plastic watering can with long spout,349,Tools,Watering,100,WAT001,"watering-can-1.jpg",200g,30x15x25cm
Potting Mix,Premium potting mix for all types of plants,449,Fertilizers,Soil,120,MIX001,"potting-mix-1.jpg",2kg,25x20x15cm
